Tree	Order	Start X	Start Y	Start Z	End X	End Y	End Z	Point Type	Length(µm)	Length To Beginning 	Start Diameter(µm)	End Diameter(µm)	Avg Diameter(µm)	Surface Area(µm²)	Volume(µm³)	Spines	None Spine	Thin Spine	Stubby Spine	Mushroom Spine	Filopodia Spine	Branched Spine	Detached Spine	Other Spine
1	1	-19.75	9.53	-14.35	-19.45	10.10	-14.35	BP	0.6	0.6	2.2	2.2	2.2	4.47213	2.47085	0	0	0	0	0	0	0	0	0
1	2	-19.45	10.10	-14.35	-20.46	9.67	-14.35	CP	1.1	1.7	2.2	2.2	2.2	7.62141	4.21083	0	0	0	0	0	0	0	0	0
1	2	-20.46	9.67	-14.35	-21.48	9.82	-14.35	CP	1.0	2.8	2.2	2.2	2.2	7.15795	3.95477	0	0	0	0	0	0	0	0	0
1	2	-21.48	9.82	-14.35	-22.58	9.98	-14.35	CP	1.1	3.9	2.2	2.1	2.2	7.59912	4.13033	0	0	0	0	0	0	0	0	0
1	2	-22.58	9.98	-14.35	-24.17	9.99	-14.35	CP	1.6	5.5	2.1	2.1	2.1	10.4933	5.50791	0	0	0	0	0	0	0	0	0
1	2	-24.17	9.99	-14.35	-25.42	10.19	-14.35	CP	1.3	6.7	2.1	2.1	2.1	8.19249	4.21913	0	0	0	0	0	0	0	0	0
1	2	-25.42	10.19	-14.35	-26.60	10.28	-9.81	CP	4.7	11.4	2.1	2.2	2.1	31.4727	16.8033	0	0	0	0	0	0	0	0	0
1	2	-26.60	10.28	-9.81	-27.35	10.30	-9.81	CP	0.8	12.2	2.2	2.4	2.3	5.52678	3.17400	0	0	0	0	0	0	0	0	0
1	2	-27.35	10.30	-9.81	-27.94	10.34	-9.81	BP	0.6	12.8	2.4	2.7	2.6	4.94490	3.09504	0	0	0	0	0	0	0	0	0
1	3	-27.94	10.34	-9.81	-29.47	9.52	-17.59	CP	8.0	20.7	2.7	2.0	2.4	59.1642	35.1550	0	0	0	0	0	0	0	0	0
1	3	-29.47	9.52	-17.59	-30.79	8.97	-17.59	CP	1.4	22.2	2.0	1.8	1.9	8.61493	4.12084	0	0	0	0	0	0	0	0	0
1	3	-30.79	8.97	-17.59	-31.51	8.77	-17.59	CP	0.7	22.9	1.8	2.0	1.9	4.51822	2.15339	0	0	0	0	0	0	0	0	0
1	3	-31.51	8.77	-17.59	-32.25	8.47	-12.93	CP	4.7	27.7	2.0	2.1	2.0	30.0785	15.2284	0	0	0	0	0	0	0	0	0
1	3	-32.25	8.47	-12.93	-33.23	8.06	-12.93	CP	1.1	28.7	2.1	2.2	2.1	7.14296	3.80465	0	0	0	0	0	0	0	0	0
1	3	-33.23	8.06	-12.93	-34.06	8.02	-12.93	CP	0.8	29.5	2.2	2.1	2.2	5.68299	3.08765	0	0	0	0	0	0	0	0	0
1	3	-34.06	8.02	-12.93	-34.90	7.72	-13.73	CP	1.2	30.7	2.1	2.1	2.1	7.90911	4.15047	0	0	0	0	0	0	0	0	0
1	3	-34.90	7.72	-13.73	-35.95	7.64	-13.73	CP	1.1	31.8	2.1	2.1	2.1	6.81495	3.50970	0	0	0	0	0	0	0	0	0
1	3	-35.95	7.64	-13.73	-36.63	7.40	-13.61	CP	0.7	32.5	2.1	2.0	2.0	4.65592	2.35460	0	0	0	0	0	0	0	0	0
